Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp
Mexico,544660.10,537610.98,557652.41,563298.30,574316.76,592587.22,616361.70,646665.30,691822.34,671577.38,669084.03,681190.36,673721.90,683120.59,686159.50,699564.27,..,..,..,..,707.91,756.71,772.11,729.34,782.24,877.48,975.39,1050.00,1110.00,900.05,1060.00,1180.00,1200.00,1270.00,1320.00,1170.00,1080.00,1160.00,1220.00,1270.00
Monaco,109.00,106.86,107.18,104.49,100.36,98.15,92.66,92.57,93.04,91.08,87.92,85.52,87.53,90.53,84.89,87.70,86.71,85.76,87.13,82.54,2.65,2.72,2.97,3.60,4.14,4.20,4.58,5.87,6.48,5.45,5.37,6.09,5.74,6.56,7.07,6.26,6.47,6.43,7.19,7.38
Netherlands,217577.76,218271.57,216093.44,216742.96,218288.46,212553.10,207510.09,205894.05,205315.85,199722.20,211675.15,197327.07,193081.48,193387.53,185617.27,192712.73,193101.02,190567.47,186318.55,180309.09,416.44,431.21,471.61,578.79,657.17,685.09,733.34,847.48,948.00,868.08,846.55,904.09,838.97,876.92,890.98,765.26,783.53,831.81,913.60,910.19
New Zealand,75397.63,78386.36,78563.49,80733.64,80548.79,82486.17,82518.41,80522.57,80605.45,77881.95,78316.41,78149.24,80446.28,79827.77,80674.00,80724.44,78678.36,80282.00,80578.31,82317.88,52.62,53.87,66.63,88.25,103.91,114.72,111.54,137.19,133.13,121.37,146.52,168.29,176.21,190.91,201.31,178.06,188.94,206.95,212.23,212.89
Norway,55117.39,56349.07,55222.38,55762.84,56151.19,55269.62,55238.38,56895.40,55442.36,53053.84,55265.59,54509.57,53998.11,53989.10,53863.14,54125.12,53095.07,52089.48,52211.46,50333.98,171.25,173.97,195.52,228.86,264.51,308.88,345.58,400.94,462.25,386.19,428.76,498.28,509.51,522.76,498.41,385.80,368.83,398.39,437.00,404.94
Peru,63197.00,..,..,..,..,..,..,..,..,..,80591.02,..,84564.00,..,..,..,..,..,..,..,51.74,52.03,54.78,58.73,66.77,76.06,88.64,102.17,120.55,120.82,147.53,171.76,192.65,201.18,200.79,189.81,191.90,211.01,222.57,228.47
Poland,396594.91,395187.65,385455.07,399258.84,404900.89,405225.25,420408.33,420268.92,413750.43,394713.90,413501.55,412488.95,404975.67,401638.24,388929.07,390815.88,400421.28,414819.41,411852.17,390744.67,172.22,190.91,199.07,217.83,255.11,306.14,344.62,429.03,533.61,439.74,479.83,528.30,498.52,521.02,542.48,477.81,472.63,526.51,587.41,597.28
Portugal,81668.11,81199.88,85719.94,80429.33,83559.56,85704.34,80871.67,78593.01,76195.15,73008.70,68727.03,67319.09,65404.63,63542.23,63439.83,67586.67,65741.58,70790.72,67131.79,63469.98,118.31,121.50,134.16,164.86,189.03,197.18,208.58,240.19,262.34,243.70,237.88,244.80,216.24,226.37,229.60,199.31,206.29,220.81,242.19,239.99
Romania,138766.96,142383.73,143913.34,149600.07,147819.50,146944.76,148442.79,145429.71,140785.56,121699.30,116143.75,123862.20,121086.33,111881.72,112485.91,113193.87,110762.21,114245.64,115090.96,111767.06,37.25,40.39,46.07,57.81,74.97,98.45,122.02,174.59,214.31,174.10,166.31,183.33,170.64,190.80,199.96,177.73,188.13,211.70,241.46,249.88
Russia,1891846.01,1926302.45,1903699.11,1936360.29,1947980.21,1965384.74,2024782.86,2022728.31,2057617.56,1921605.98,2013432.45,2070533.86,2095638.94,2037755.83,2037987.26,2035889.30,2037209.58,2071543.37,2133581.60,2119432.41,259.71,306.60,345.47,430.35,591.02,764.02,989.93,1300.00,1660.00,1220.00,1520.00,2050.00,2210.00,2290.00,2060.00,1360.00,1280.00,1570.00,1660.00,1690.00
Saudi Arabia,296059.87,..,..,..,..,..,..,..,..,..,525332.15,..,548262.55,..,..,..,..,..,..,..,189.51,184.14,189.61,215.81,258.74,328.46,376.90,415.96,519.80,429.10,528.21,671.24,735.97,746.65,756.35,654.27,644.94,688.59,786.52,792.97
Slovak Republic,48669.91,50925.39,49526.70,49680.81,50409.47,50357.19,50267.53,48477.95,48898.52,44706.18,45363.93,44555.47,42309.22,41862.56,39862.99,40712.46,41112.12,42226.70,42159.13,39948.33,29.17,30.75,35.13,46.82,57.33,62.79,70.71,86.45,100.47,89.05,90.71,99.36,94.26,98.54,100.95,88.60,89.61,95.16,105.56,105.28
Slovenia,18581.77,19851.46,20107.88,19776.00,20175.28,20433.19,20633.36,20817.43,21543.28,19378.09,19613.54,19540.39,18917.61,18220.97,16581.50,16760.95,17616.46,17696.60,17521.74,17065.45,20.29,20.88,23.49,29.63,34.41,36.21,39.48,48.01,55.55,50.37,48.16,51.52,46.58,48.40,49.93,43.09,44.74,48.47,54.14,54.18
South Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,151.75,135.43,129.09,197.02,255.81,288.87,303.86,333.08,316.13,329.75,417.37,458.20,434.40,400.89,381.20,346.71,323.59,381.45,404.84,387.93
Spain,388211.54,385643.07,403700.67,411524.81,427387.29,442075.01,435255.58,446328.12,412136.25,372318.72,357876.02,357588.45,350317.74,323525.94,325609.36,336994.88,325465.70,338738.17,333250.41,314528.51,596.88,627.29,705.39,905.49,1070.00,1150.00,1260.00,1470.00,1630.00,1490.00,1420.00,1480.00,1320.00,1350.00,1370.00,1200.00,1230.00,1310.00,1420.00,1390.00
Sweden,68149.05,68963.19,69684.74,70052.93,69487.57,66662.53,66281.64,65164.48,62788.90,58523.68,64557.43,60230.62,57376.45,55718.95,53833.30,53998.52,53571.52,53010.59,52170.22,50919.87,262.84,242.40,266.85,334.34,385.12,392.22,423.09,491.25,517.71,436.54,495.81,574.09,552.48,586.84,581.96,505.10,515.65,541.02,555.46,533.88
Switzerland,52931.42,54477.08,52986.03,54080.41,54688.41,55348.19,55037.80,53123.60,54541.43,53083.92,54721.38,50606.40,51946.23,52831.53,48875.41,48415.62,48709.06,47868.93,46369.71,46108.19,279.84,287.23,310.18,363.06,405.53,420.54,443.80,493.54,570.30,558.20,603.43,722.04,692.11,712.75,734.40,702.15,695.60,704.48,735.54,731.77
Turkey,298954.23,280503.24,286227.35,305290.16,314843.15,337344.65,358571.11,391664.26,387853.21,395843.89,399143.06,428120.39,447582.09,439694.38,458953.88,473335.82,498886.78,524980.92,522476.63,506080.42,274.30,201.75,240.25,314.59,408.88,506.31,557.06,681.34,770.46,649.27,776.99,838.76,880.56,957.78,938.95,864.32,869.69,859.00,778.47,761.00
Ukraine,427602.79,445700.84,430839.88,440133.92,442916.37,442062.65,459698.39,463030.00,450790.66,390310.52,407123.69,428395.17,417435.21,409042.06,362608.94,319141.19,337456.51,323045.06,339797.89,332114.02,32.38,39.31,43.96,52.01,67.22,89.24,111.88,148.73,188.11,121.55,141.21,169.33,182.59,190.50,133.50,91.03,93.36,112.09,130.89,153.88
United Kingdom,711972.54,714597.26,694790.61,701372.64,697609.49,690112.27,683132.37,671465.50,650476.11,594416.68,608732.30,563659.98,580418.64,566545.83,526556.30,509050.72,484146.20,473389.98,466666.98,453101.46,1660.00,1640.00,1780.00,2060.00,2420.00,2540.00,2720.00,3110.00,2940.00,2430.00,2490.00,2670.00,2720.00,2800.00,3090.00,2960.00,2720.00,2700.00,2900.00,2880.00
United States,7313616.49,7202956.51,7244301.89,7301363.18,7415471.11,7423031.03,7344462.85,7449616.03,7224648.98,6772000.07,6991106.34,6827402.42,6585907.77,6764669.11,6824956.71,6671112.07,6520337.84,6483291.33,6671449.40,6558345.18,10250.00,10580.00,10940.00,11460.00,12210.00,13040.00,13810.00,14450.00,14710.00,14450.00,14990.00,15540.00,16200.00,16780.00,17530.00,18240.00,18750.00,19540.00,20610.00,21430.00
